## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2018-12-17_16-23-03 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# %d;%d;%d;%d
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
18;8;0;0
34;27;0;0
42;47;38;32
62;75;86;91
86;122;162;171
111;170;234;280
134;184;290;344
138;187;318;378
142;200;330;386
162;226;362;416
186;267;374;434
194;282;384;424
198;288;386;425
190;280;378;434
174;256;354;414
146;211;330;377
118;187;294;338
94;154;250;312
78;122;210;264
46;66;122;168
14;11;26;48
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
15;2;0;0
30;18;0;0
38;34;14;2
54;66;70;75
74;98;130;136
104;154;206;242
128;170;270;317
138;186;306;362
142;202;330;384
154;218;352;403
174;254;386;424
194;280;384;424
198;288;386;424
194;282;384;419
186;270;366;417
162;234;354;398
128;179;302;352
102;162;262;305
79;130;210;267
58;82;143;177
26;34;58;80
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
14;0;0;0
22;10;0;0
34;32;2;0
47;59;58;56
66;86;106;121
98;138;174;204
122;184;258;291
138;190;302;352
142;202;330;384
142;202;334;392
170;243;378;430
190;274;378;440
194;282;384;424
194;282;384;424
190;274;374;427
174;250;370;416
138;195;319;370
110;171;274;317
90;143;230;288
70;106;186;234
34;46;90;128
2;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
10;0;0;0
26;10;0;0
26;18;0;0
46;47;34;26
58;74;86;92
86;120;160;170
110;170;238;283
134;184;290;344
142;194;318;376
142;202;330;384
162;227;362;417
