## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000
# channelsPerBoard: 4
# nBoards: 1
# bitsPerSample: 12
##
## Data
## t;ch0;ch1;...;ch(channelsPerBoard * nBoards - 1)
111;137;134;133
171;220;246;245
261;330;326;309
251;315;298;260
196;266;259;253
98;159;156;138
2;14;37;47
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;2
17;6;6;6
26;21;21;24
48;57;79;115
62;92;126;135
99;133;137;135
125;139;137;139
249;287;250;250
262;330;304;268
225;304;265;248
141;210;233;250
18;67;124;135
0;0;12;27
0;0;0;0
0;0;0;0
1;0;0;1
11;0;0;1
21;10;6;11
46;47;62;93
63;86;121;127
93;131;132;133
125;143;134;136
226;277;247;249
263;357;352;339
226;323;302;265
157;245;245;250
39;112;142;134
0;1;19;32
0;0;0;0
0;0;0;0
0;0;0;0
10;0;1;2
21;10;6;4
36;35;40;56
63;80;119;131
82;127;141;138
118;148;135;145
212;255;266;261
263;359;367;370
250;328;328;311
193;260;258;256
82;132;137;136
0;3;15;25
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
15;2;0;1
28;21;21;23
44;49;65;96
65;91;128;138
91;131;136;139
129;156;147;132
251;292;254;255
255;323;299;265
221;301;264;255
134;204;223;241
16;52;103;137
0;0;3;7
0;0;0;0
0;0;0;0
0;0;0;0
11;1;1;6
31;20;27;38
46;53;75;117
67;98;134;139
91;131;138;134
123;149;137;140
248;285;258;258
271;334;328;312
232;323;295;266
161;247;246;254
41;113;133;136
0;1;18;28
0;0;0;0
0;0;0;0
1;0;0;0
6;0;0;0
16;9;5;3
38;40;49;71
52;70;101;131
81;123;134;146
115;142;135;139
190;251;243;250
264;349;344;342
250;341;330;302
186;263;262;255
89;149;144;130
0;3;14;16
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
16;6;6;12
27;21;22;32
52;60;87;126
69;101;132;139
108;131;138;135
142;181;192;202
254;316;285;258
261;348;327;289
211;297;264;254
127;184;194;202
0;23;53;83
0;0;1;9
0;0;0;0
0;0;0;0
0;0;0;0
13;1;4;2
28;23;28;38
47;55;79;122
70;102;128;138
101;139;133;131
126;157;148;135
254;293;263;254
261;354;349;332
221;317;294;260
137;213;241;228
15;64;121;132
0;0;13;28
0;0;0;0
0;0;0;0
0;0;0;0
15;1;2;4
30;24;32;45
47;57;80;128
62;90;130;138
96;134;133;135
126;152;135;141
251;293;266;258
264;350;344;333
218;313;286;249
142;222;245;244
22;81;133;139
0;0;15;23
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
