## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2019-02-04_16-18-50 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch/%d;%d;%d;%d;lp/%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;9;9;2;14;14;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;9;9;2;14;14;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;9;9;2;14;14;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;9;9;2;14;14;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;9;9;2;14;14;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;9;9;2;14;14;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;9;9;2;14;14;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;9;9;2;14;14;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;9;9;2;14;14;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;9;9;2;14;14;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;9;9;2;14;14;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;10;10;2;15;15;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;10;10;2;15;15;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;10;10;2;15;15;
0;0;0;0;60;85;85;96;98;98;1;6;6;2;10;10;2;15;15;
0;0;0;0;58;85;85;96;98;98;1;7;7;2;10;10;2;16;16;
0;0;0;0;58;85;85;96;98;98;1;7;7;2;10;10;2;16;16;
0;0;0;0;58;85;85;96;98;98;1;7;7;2;10;10;2;16;16;
0;0;0;0;58;85;85;96;98;98;1;7;7;2;11;11;2;17;17;
0;0;0;0;55;84;84;95;97;97;1;7;7;3;11;11;3;18;18;
0;0;0;0;55;84;84;95;97;97;1;7;7;3;11;11;3;18;18;
0;0;0;0;52;83;83;94;97;97;2;7;7;3;11;11;3;19;19;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
0;0;0;0;51;83;83;93;96;96;2;8;8;4;11;11;4;21;21;
